majorId,realistic,investigative,artistic,social,enterprising,conventional,explanationTemplateAr,explanationTemplateEn
MAJ001,0.5,0.9,0.2,0.2,0.4,0.6,"يناسبك هذا التخصص بسبب ميولك القوية في التفكير التحليلي وحب استكشاف الأنماط والحلول المنطقية","This major suits you due to your strong analytical thinking and interest in exploring patterns and logical solutions"
MAJ002,0.4,0.85,0.3,0.2,0.45,0.5,"يناسبك هذا التخصص لأنك تجمع بين التفكير التحليلي والقدرة على بناء حلول عملية ضمن فريق","This major suits you because you combine analytical thinking with building practical solutions within a team"
MAJ003,0.5,0.7,0.2,0.3,0.4,0.65,"يناسبك هذا التخصص بسبب دقتك وميلك لتنظيم الأنظمة التقنية وحل المشكلات العملية","This major suits you due to your precision and interest in organizing technical systems and solving practical issues"
MAJ004,0.8,0.8,0.2,0.2,0.3,0.4,"يناسبك هذا التخصص بسبب ميولك العملية القوية إلى جانب اهتمامك بالتحليل الهندسي الدقيق","This major suits you due to your strong practical inclination alongside interest in precise engineering analysis"
MAJ005,0.85,0.75,0.25,0.2,0.3,0.35,"يناسبك هذا التخصص لأنك تميل للعمل العملي الملموس وتحليل الأنظمة الميكانيكية","This major suits you because you lean toward hands-on work and analyzing mechanical systems"
MAJ006,0.8,0.65,0.2,0.25,0.35,0.5,"يناسبك هذا التخصص بسبب ميولك العملية ودقتك في تنظيم وتنفيذ المشاريع الإنشائية","This major suits you due to your practical inclination and precision in organizing construction projects"
MAJ007,0.7,0.85,0.2,0.2,0.3,0.45,"يناسبك هذا التخصص لأنك تجمع بين الفضول العلمي والدقة في تحليل العمليات الكيميائية","This major suits you because you combine scientific curiosity with precision in analyzing chemical processes"
MAJ008,0.55,0.6,0.2,0.3,0.55,0.65,"يناسبك هذا التخصص بسبب قدرتك على التنظيم وتحسين العمليات ضمن بيئة عمل منظمة","This major suits you due to your ability to organize and improve processes within a structured environment"
MAJ009,0.4,0.85,0.15,0.75,0.3,0.35,"يناسبك هذا التخصص بسبب جمعك بين الفضول العلمي والرغبة الحقيقية في مساعدة ورعاية الآخرين","This major suits you because you combine scientific curiosity with a genuine desire to care for and help others"
MAJ010,0.5,0.75,0.3,0.65,0.3,0.4,"يناسبك هذا التخصص لأنك تجمع بين الدقة اليدوية والرغبة في رعاية صحة الآخرين","This major suits you because you combine manual precision with a desire to care for others' health"
MAJ011,0.35,0.8,0.15,0.55,0.3,0.55,"يناسبك هذا التخصص بسبب اهتمامك العلمي الدقيق ورغبتك في مساعدة المرضى بأمان","This major suits you due to your precise scientific interest and desire to safely help patients"
MAJ012,0.35,0.55,0.2,0.85,0.25,0.4,"يناسبك هذا التخصص بسبب رغبتك القوية في رعاية ودعم الآخرين في أوقات حاجتهم","This major suits you due to your strong desire to care for and support others in times of need"
MAJ013,0.2,0.4,0.25,0.5,0.85,0.55,"يناسبك هذا التخصص بسبب ميولك القيادية ورغبتك في التأثير وإدارة الأعمال","This major suits you due to your leadership inclination and interest in influencing and managing business"
MAJ014,0.2,0.4,0.15,0.3,0.45,0.85,"يناسبك هذا التخصص بسبب دقتك العالية وحبك للتنظيم والعمل ضمن أطر واضحة","This major suits you due to your high precision and preference for organized, structured work"
MAJ015,0.2,0.55,0.15,0.3,0.65,0.7,"يناسبك هذا التخصص بسبب قدرتك التحليلية ورغبتك في اتخاذ قرارات مالية استراتيجية","This major suits you due to your analytical ability and interest in strategic financial decisions"
MAJ016,0.15,0.35,0.55,0.55,0.8,0.4,"يناسبك هذا التخصص بسبب إبداعك وقدرتك على التواصل والتأثير على الآخرين","This major suits you due to your creativity and ability to communicate and influence others"
MAJ017,0.15,0.55,0.3,0.55,0.75,0.5,"يناسبك هذا التخصص بسبب قدرتك على الإقناع والتفكير المنطقي في الدفاع عن القضايا","This major suits you due to your persuasive ability and logical thinking in advocating for cases"
MAJ018,0.15,0.7,0.35,0.8,0.3,0.3,"يناسبك هذا التخصص بسبب اهتمامك بفهم سلوك الآخرين ورغبتك في مساعدتهم نفسياً","This major suits you due to your interest in understanding others' behavior and desire to support them psychologically"
MAJ019,0.2,0.4,0.35,0.85,0.35,0.4,"يناسبك هذا التخصص بسبب رغبتك في التعليم ومساعدة الآخرين على التعلم والنمو","This major suits you due to your desire to teach and help others learn and grow"
MAJ020,0.55,0.55,0.85,0.25,0.35,0.35,"يناسبك هذا التخصص بسبب إبداعك العالي وقدرتك على تصميم مساحات وظيفية وجمالية","This major suits you due to your high creativity and ability to design functional, aesthetic spaces"
MAJ021,0.25,0.3,0.9,0.25,0.35,0.25,"يناسبك هذا التخصص بسبب إبداعك البصري القوي وشغفك بالتصميم والتواصل البصري","This major suits you due to your strong visual creativity and passion for design and visual communication"
MAJ022,0.15,0.35,0.65,0.55,0.65,0.3,"يناسبك هذا التخصص بسبب قدرتك على التعبير والتواصل الإبداعي مع الجمهور","This major suits you due to your ability to express ideas and creatively communicate with an audience"
MAJ023,0.5,0.9,0.2,0.2,0.2,0.45,"يناسبك هذا التخصص بسبب فضولك العلمي القوي ورغبتك في فهم خصائص وتفاعلات المواد","This major suits you due to your strong scientific curiosity and interest in understanding matter and its reactions"
MAJ024,0.45,0.9,0.2,0.3,0.2,0.4,"يناسبك هذا التخصص بسبب فضولك العلمي واهتمامك العميق بدراسة الكائنات الحية والأنظمة البيولوجية","This major suits you due to your scientific curiosity and deep interest in studying living organisms and biological systems"
